Route ,Length,AADT/Mile,Crashes,Arrests,Total,DUI.Density,Incidents/Check,DD/Check,Traffic/Check
6,14.3599999,1404.317554,12,19,31,0.022074779,0.00283105,0.226484018,105.723967
20,35.19000005,7044.671751,75,139,214,0.030377569,0.019543379,1.56347032,530.3577113
22,9.060000181,5435.209737,9,21,30,0.005519566,0.002739726,0.219178082,409.1894553
29,35.97999997,28119.91386,64,282,346,0.012304447,0.031598174,2.527853881,2117.006112
53,9.509999871,7196.950587,21,40,61,0.008475812,0.005570776,0.4456621,541.8220148
64,66.05000028,18683.51704,55,68,123,0.006583343,0.011232877,0.898630137,1406.587515
151,1.110000014,10000,4,3,7,0.0007,0.000639269,0.051141553,752.8494301
231,8.109999657,5000,5,4,9,0.0018,0.000821918,0.065753425,376.4247151
240,4.51000005,5691.352523,11,21,32,0.005622565,0.002922374,0.233789954,428.4731503
250,40.19000006,15690.14429,55,209,264,0.016825849,0.024109589,1.928767123,1181.231619
302,0,0,0,1,1,0,9.13242E-05,0.007305936,0
317,0,0,0,0,0,0,0,0,0
388,0,0,0,3,3,0,0.000273973,0.021917808,0
600,15.60000014,373.8461589,7,5,12,0.032098765,0.00109589,0.087671233,28.14498676
601,18.32000007,2459.372278,16,26,42,0.017077528,0.003835616,0.306849315,185.1537018
602,6.449999809,180,0,1,1,0.005555556,9.13242E-05,0.007305936,13.55128974
603,0.699999988,340,0,0,0,0,0,0,25.59688062
604,2.539999962,1478.740159,2,1,3,0.002028754,0.000273973,0.021917808,111.3268686
605,2.200000048,150,1,0,1,0.006666667,9.13242E-05,0.007305936,11.29274145
606,6.160000063,1907.694814,7,6,13,0.006814507,0.001187215,0.094977169,143.6206953
607,0.100000001,130,0,0,0,0,0,0,9.787042591
608,1.399999976,100,0,0,0,0,0,0,7.528494301
609,1.399999976,540,0,0,0,0,0,0,40.65386923
610,2.299999952,340,0,0,0,0,0,0,25.59688062
611,3.150000036,214.3492073,0,2,2,0.009330569,0.000182648,0.014611872,16.13726785
612,1.700000048,170,0,1,1,0.005882353,9.13242E-05,0.007305936,12.79844031
613,0.200000003,40,0,0,0,0,0,0,3.01139772
614,11.41000003,1295.968435,10,2,12,0.009259485,0.00109589,0.087671233,97.56690979
615,1.600000024,345.0000004,0,2,2,0.005797101,0.000182648,0.014611872,25.97330537
616,4.449999973,2982.314647,4,3,7,0.00234717,0.000639269,0.051141553,224.5233883
617,0.899999976,60,0,0,0,0,0,0,4.517096581
618,11.21999979,1041.889482,4,8,12,0.011517536,0.00109589,0.087671233,78.43859029
619,0.200000003,720,0,0,0,0,0,0,54.20515897
620,6.210000038,1500,2,3,5,0.003333333,0.000456621,0.03652968,112.9274145
621,1.100000024,370,0,0,0,0,0,0,27.85542891
622,3.100000024,721.9354935,1,1,2,0.002770331,0.000182648,0.014611872,54.35087249
623,1.399999976,263.7857141,0,1,1,0.003790956,9.13242E-05,0.007305936,19.85909246
624,0.150000006,10,0,0,0,0,0,0,0.75284943
625,2.299999952,110,2,1,3,0.027272727,0.000273973,0.021917808,8.281343731
626,10.30999994,493.1134826,2,11,13,0.0263631,0.001187215,0.094977169,37.12402043
627,19.21000006,271.6293582,5,3,8,0.029451897,0.000730594,0.058447489,20.44960075
628,0.800000012,210,2,6,8,0.038095238,0.000730594,0.058447489,15.80983803
629,1.299999982,35.84615401,0,6,6,0.167381973,0.000547945,0.043835616,2.698675662
630,6.300000191,144.2222226,2,2,4,0.027734977,0.000365297,0.029223744,10.85776181
631,15.57000016,7418.914465,48,121,169,0.022779613,0.01543379,1.234703196,558.5325527
632,1.5,820,0,0,0,0,0,0,61.73365327
633,9.450000145,170.687832,1,1,2,0.011717297,0.000182648,0.014611872,12.8502237
634,2.900000095,61.72413787,0,0,0,0,0,0,4.646898202
635,9.649999857,1078.134726,6,5,11,0.010202807,0.001004566,0.080365297,81.16731138
636,4.799999952,224.9999993,0,0,0,0,0,0,16.93911212
637,16.76000002,776.4498789,7,4,11,0.014167045,0.001004566,0.080365297,58.45498488
638,0.5,50,0,0,0,0,0,0,3.764247151
639,1.25,65.19999981,0,0,0,0,0,0,4.90857827
640,12.68999998,257.9353811,1,2,3,0.01163082,0.000273973,0.021917808,19.41865046
641,11.61000023,738.2687286,4,5,9,0.012190683,0.000821918,0.065753425,55.58051916
642,0.460000008,20,0,0,0,0,0,0,1.50569886
643,4.699999969,1585.446816,2,4,6,0.003784422,0.000547945,0.043835616,119.3602732
644,0.600000024,140,0,0,0,0,0,0,10.53989202
645,2.100000024,120.0000011,0,0,0,0,0,0,9.034193247
646,1,195,0,0,0,0,0,0,14.68056389
647,0.800000012,290,0,0,0,0,0,0,21.83263347
648,1.899999976,360,0,2,2,0.005555556,0.000182648,0.014611872,27.10257948
649,5.739999861,5374.738712,14,12,26,0.004837444,0.002374429,0.189954338,404.6368976
650,0.110000001,236.3636361,0,0,0,0,0,0,17.79462288
651,0.799999982,675.1249922,0,3,3,0.004443622,0.000273973,0.021917808,50.82674657
652,1.11999999,3560.714242,0,3,3,0.000842528,0.000273973,0.021917808,268.0681688
653,0.140000001,140,0,0,0,0,0,0,10.53989202
654,1.99000001,9618.090327,6,14,20,0.002079415,0.001826484,0.146118721,724.0973822
655,0.150000006,50,0,0,0,0,0,0,3.764247151
656,0.860000029,16000,1,6,7,0.0004375,0.000639269,0.051141553,1204.559088
657,1.460000038,5600,1,0,1,0.000178571,9.13242E-05,0.007305936,421.5956809
658,1.000000015,1024,0,1,1,0.000976563,9.13242E-05,0.007305936,77.09178164
659,1.200000048,920,0,2,2,0.002173913,0.000182648,0.014611872,69.26214757
660,6.44000008,1015.310562,1,1,2,0.001969841,0.000182648,0.014611872,76.4375978
661,0.899999976,120,0,0,0,0,0,0,9.034193161
662,2.350000024,155.5319146,0,1,1,0.006429549,9.13242E-05,0.007305936,11.70921133
663,7.099999756,1777.859185,6,0,6,0.003374845,0.000547945,0.043835616,133.8460274
664,8.129999936,853.8745437,4,0,4,0.004684529,0.000365297,0.029223744,64.28389636
665,8.379999936,809.6420035,1,0,1,0.001235114,9.13242E-05,0.007305936,60.95385209
666,0.800000012,260,0,0,0,0,0,0,19.57408518
667,3.500000037,110.2857143,0,1,1,0.009067358,9.13242E-05,0.007305936,8.302853715
668,7.899999887,59.87341829,0,0,0,0,0,0,4.507566884
669,0.349999994,90,0,0,0,0,0,0,6.775644871
670,1,60,0,0,0,0,0,0,4.517096581
671,10.30000002,278.8349548,2,2,4,0.014345404,0.000365297,0.029223744,20.99207368
672,3.699999928,120.8108104,0,0,0,0,0,0,9.095234974
673,3.809999952,136.5616798,0,0,0,0,0,0,10.28103828
674,5.989999846,103.222037,0,1,1,0.009687854,9.13242E-05,0.007305936,7.771065175
675,2.749999929,314.9090855,1,1,2,0.006351039,0.000182648,0.014611872,23.70791256
676,10.5000001,2634.514322,11,16,27,0.010248568,0.002465753,0.197260274,198.3392606
677,5.799999952,715.6896494,2,1,3,0.004191761,0.000273973,0.021917808,53.88065447
678,7.980000027,768.7844783,4,0,4,0.005203019,0.000365297,0.029223744,57.87789564
679,0.899999991,248.6666663,0,0,0,0,0,0,18.7208558
680,4.179999828,570,1,0,1,0.001754386,9.13242E-05,0.007305936,42.91241752
681,0.600000024,30,0,0,0,0,0,0,2.25854829
682,4.359999985,314.472474,1,0,1,0.003179929,9.13242E-05,0.007305936,23.67504229
683,1.199999988,169.4999995,0,0,0,0,0,0,12.7607978
684,4.5,972.8666634,3,3,6,0.006167341,0.000547945,0.043835616,73.24221131
685,0.700000018,121.1428582,0,0,0,0,0,0,9.120233175
686,1.799999952,140,0,0,0,0,0,0,10.53989202
