Latitude,Longitude,Route Number,Type,Crash Severity,Incident Date,Road Name,Score
38.07665802,-78.47834817,29,Accident,injury crash,1/3/2010,SEMINOLE TRL,0.012304447
38.04422632,-78.51410857,250,Accident,injury crash,1/11/2010,ivy rd,0.016825849
38.07468698,-78.46810931,631,Accident,property damage crash,1/12/2010,EAST RIO RD,0.022779613
38.08273414,-78.49061968,743,Accident,property damage crash,1/13/2010,EARLYSVILLE RD,0.014030319
38.00565719,-78.48003746,20,Accident,injury crash,1/16/2010,scottsville rd,0.030377569
38.07459896,-78.4059693,20,Accident,injury crash,1/18/2010,Stony POiNt Rd,0.030377569
38.05531115,-78.57163783,250,Accident,property damage crash,1/23/2010,IVY RD,0.016825849
38.00042949,-78.52758379,631,Accident,injury crash,3/3/2010,OLD LYNCHBURG RD,0.022779613
37.88875251,-78.54921563,20,Accident,injury crash,3/7/2010,scottesville rd,0.030377569
38.05094933,-78.70557199,250,Accident,property damage crash,3/14/2010,ROCKFISH GAP TNPK,0.016825849
37.89658093,-78.55062489,20,Accident,injury crash,3/20/2010,SCOTTSVILLE RD,0.030377569
38.13107307,-78.43645378,29,Accident,injury crash,3/29/2010,seminole trail,0.012304447
37.95610797,-78.65177171,692,Accident,property damage crash,4/2/2010,PLANK RD,0.022813036
37.990226,-78.53539,631,Accident,property damage crash,4/7/2010,OLD LYNCHBURG ROAD,0.022779613
37.95717882,-78.65099148,692,Accident,injury crash,4/17/2010,PLANK RD,0.022813036
37.82576,-78.70534,6,Accident,property damage crash,12/6/2014,IRISH RD,0.022074779
38.08177027,-78.47382304,29,Accident,property damage crash,5/8/2010,SeMInOLe Traii,0.012304447
37.97945763,-78.50839716,20,Accident,injury crash,5/8/2010,SCOTTSVILLE RD,0.030377569
38.06159331,-78.53240254,601,Accident,injury crash,5/16/2010,old garth rd,0.017077528
38.06600249,-78.48789563,29,Accident,property damage crash,5/21/2010,SEMINOLE TR,0.012304447
37.93046058,-78.67546366,29,Accident,injury crash,6/8/2010,monacan trail,0.012304447
37.95242103,-78.53131111,20,Accident,property damage crash,6/13/2010,3138 SOTTESVILLE ROAD,0.030377569
38.06199636,-78.49163096,743,Accident,injury crash,6/15/2010,HYDRAULIC RD,0.014030319
38.12312908,-78.44528986,29,Accident,injury crash,6/19/2010,SEMINOLE TRAIL,0.012304447
38.05502895,-78.43632398,20,Accident,injury crash,6/24/2010,STONY POINT ROAD,0.030377569
38.07332691,-78.40832762,20,Accident,injury crash,6/24/2010,STONY POINT RD,0.030377569
37.82883,-78.63646,6,Accident,property damage crash,5/27/2015,IRISH ROAD,0.022074779
38.11279287,-78.37107549,20,Accident,injury crash,7/3/2010,STONY POINT RD,0.030377569
38.04907312,-78.46708869,631,Accident,injury crash,7/5/2010,e rio rd,0.022779613
38.01679035,-78.76474477,692,Accident,fatal crash,7/10/2010,plank road,0.022813036
37.92188699,-78.68133384,29,Accident,property damage crash,7/10/2010,4530 MONACAN TRAIL RD,0.012304447
38.06419165,-78.46390667,631,Accident,property damage crash,7/11/2010,RIO RD E,0.022779613
38.10912644,-78.47866218,743,Accident,injury crash,7/13/2010,EARLYSVILLE RD,0.014030319
38.00748286,-78.50969435,631,Accident,property damage crash,7/24/2010,5TH STREET,0.022779613
38.00639928,-78.57376931,29,Accident,injury crash,7/24/2010,MONACAN TR,0.012304447
37.95031704,-78.40193894,729,Accident,property damage crash,7/31/2010,BUCK ISLAND RD,0.011018371
38.01193474,-78.39368432,250,Accident,property damage crash,8/27/2010,richmond rd,0.016825849
38.00789102,-78.47846847,20,Accident,property damage crash,8/28/2010,SCOTTSVILLE RD,0.030377569
38.1490222,-78.42398926,29,Accident,property damage crash,9/2/2010,SEMINOLE TR,0.012304447
38.0553477,-78.58180389,250,Accident,injury crash,9/5/2010,IVY RD,0.016825849
38.0030533,-78.52434724,631,Accident,property damage crash,9/22/2010,OLD LYNCHBURG RD,0.022779613
37.94955869,-78.533952,20,Accident,property damage crash,9/25/2010,SCOTTSVILLE RD,0.030377569
38.14488841,-78.46932583,743,Accident,fatal crash,10/4/2010,earlysville rd,0.014030319
38.06187736,-78.49159085,29,Accident,injury crash,10/27/2010,1900 emmet st,0.012304447
37.99561243,-78.350999,250,Accident,property damage crash,11/1/2010,richmond rd,0.016825849
38.08253305,-78.54315837,601,Accident,property damage crash,11/2/2010,1300 GAREH RD,0.017077528
38.00880131,-78.50807794,631,Accident,injury crash,11/12/2010,5TH ST,0.022779613
37.91093454,-78.54443083,20,Accident,property damage crash,11/25/2010,SCOTTSVILLE RD,0.030377569
38.08390722,-78.54371748,601,Accident,injury crash,11/28/2010,garth rd,0.017077528
38.10743691,-78.37812644,20,Accident,injury crash,12/13/2010,stony point rd,0.030377569
38.05106977,-78.55498555,250,Accident,injury crash,12/19/2010,3000X IVY RD,0.016825849
38.03029205,-78.44356174,250,Accident,injury crash,12/19/2010,RICHMOND RD,0.016825849
38.06187776,-78.4915905,29,Accident,injury crash,12/27/2010,1900N EMMET ST,0.012304447
37.97345682,-78.54506106,631,Accident,injury crash,1/3/2011,OLD LYNCHBURG RD 1400X,0.022779613
38.03030134,-78.44357992,250,Accident,injury crash,1/6/2011,RICHMOND ROAD,0.016825849
38.00518509,-78.51994343,631,Accident,property damage crash,1/22/2011,5TH ST EXTENDED,0.022779613
37.96030674,-78.52274623,20,Accident,property damage crash,1/23/2011,scottsville rd,0.030377569
38.04602698,-78.44412875,20,Accident,injury crash,1/28/2011,stony point rd,0.030377569
37.99083546,-78.40071908,729,Accident,property damage crash,2/3/2011,2400 block of milton rd,0.011018371
38.05108913,-78.5309483,250,Accident,property damage crash,2/8/2011,IVY RD,0.016825849
38.04647805,-78.52539301,29,Accident,property damage crash,3/7/2011,US 29 BYPASS,0.012304447
38.03459256,-78.4546727,20,Accident,property damage crash,3/9/2011,STONY POINT ROAD,0.030377569
38.07800759,-78.47122892,631,Accident,property damage crash,3/20/2011,RIO ROAD WEST,0.022779613
38.11251653,-78.47760832,743,Accident,injury crash,4/5/2011,earlysville rd,0.014030319
38.08285119,-78.40448768,20,Accident,injury crash,4/20/2011,STONY POINT ROAD,0.030377569
38.01254079,-78.74941612,692,Accident,property damage crash,4/21/2011,7332 PLANK RD,0.022813036
37.97873949,-78.40351761,729,Accident,property damage crash,4/22/2011,MILTON RD,0.011018371
38.05130152,-78.55937957,250,Accident,property damage crash,4/23/2011,IVY RD,0.016825849
37.91889541,-78.62625841,631,Accident,property damage crash,4/24/2011,OLD LYNCHBURG ROAD,0.022779613
38.16461338,-78.57284503,601,Accident,injury crash,5/13/2011,4700 / FREE UNION RD,0.017077528
38.16219181,-78.30402383,20,Accident,fatal crash,5/13/2011,STONY POINT ROAD,0.030377569
38.01610054,-78.42369527,250,Accident,injury crash,5/14/2011,RICHMOND RD,0.016825849
38.03207196,-78.44681607,250,Accident,property damage crash,5/14/2011,RICHMOND RD,0.016825849
38.10705228,-78.37905458,20,Accident,property damage crash,5/20/2011,STONY POINT RD,0.030377569
38.06219831,-78.49169806,743,Accident,injury crash,5/28/2011,HYDRAULIC RD,0.014030319
38.04812872,-78.44234997,20,Accident,injury crash,6/4/2011,stony point rd,0.030377569
38.0524319,-78.53985227,250,Accident,property damage crash,6/7/2011,ivy road,0.016825849
38.15436849,-78.56303878,601,Accident,property damage crash,6/11/2011,4286 FREE UNION RD,0.017077528
37.98156994,-78.54423559,631,Accident,property damage crash,6/21/2011,OLD LYNCHBURG RD,0.022779613
38.08366769,-78.47265907,29,Accident,injury crash,6/26/2011,SEMINOLE TRAIL,0.012304447
38.1117833,-78.45349465,29,Accident,property damage crash,6/26/2011,SEMINOLE TRAIL,0.012304447
37.87384268,-78.5526891,20,Accident,injury crash,7/4/2011,SCOTTSVILLE ROAD,0.030377569
38.09213385,-78.46776262,29,Accident,property damage crash,7/9/2011,SEMINOLE TRAIL,0.012304447
38.06109944,-78.4299256,20,Accident,injury crash,8/5/2011,STONY POINT ROAD,0.030377569
37.82364822,-78.52010325,20,Accident,property damage crash,8/7/2011,SCOTTSVILLE RD,0.030377569
38.00274366,-78.36413659,250,Accident,injury crash,8/21/2011,RICHMOND ROAD,0.016825849
38.03381854,-78.45305019,250,Accident,property damage crash,8/28/2011,RICHMOND ROAD,0.016825849
38.01395761,-78.39659024,250,Accident,injury crash,9/4/2011,RICHMOND RD,0.016825849
38.00619697,-78.51232409,631,Accident,property damage crash,9/5/2011,5TH STREET EXTENDED,0.022779613
37.99793407,-78.52912863,631,Accident,injury crash,9/8/2011,790 OLD LYNCHBURG ROAD,0.022779613
38.00007208,-78.52781279,631,Accident,property damage crash,9/11/2011,HICKORY STREET,0.022779613
38.10586135,-78.45739314,29,Accident,injury crash,9/15/2011,2575 SEMINOLE TRAIL,0.012304447
38.00388697,-78.36609601,250,Accident,property damage crash,10/7/2011,RICHMOND ROAD,0.016825849
38.07784528,-78.40439419,20,Accident,property damage crash,10/24/2011,stony point rd,0.030377569
38.05115299,-78.69887009,250,Accident,property damage crash,10/28/2011,ROCKFISH GAP TURNPIKE,0.016825849
38.1087927,-78.45543679,29,Accident,property damage crash,11/1/2011,SEMINOLE TRAIL,0.012304447
37.83497242,-78.5410178,20,Accident,property damage crash,11/1/2011,SCOTTSVILLE RD,0.030377569
38.03368246,-78.45508682,250,Accident,injury crash,11/4/2011,RIVERBEND DR,0.016825849
38.11222953,-78.45320485,29,Accident,injury crash,11/6/2011,SEMINOLE TRAIL,0.012304447
38.026839,-78.52872015,29,Accident,property damage crash,11/9/2011,STRIBLING AVE EXT,0.012304447
37.81980801,-78.51087196,20,Accident,injury crash,11/20/2011,SCOTTSVILLE RD,0.030377569
37.82570175,-78.60898972,6,Accident,injury crash,5/7/2010,INJHRD,0.022074779
38.11030734,-78.37311165,20,Accident,injury crash,12/4/2011,STONY POINT RD,0.030377569
38.1645021,-78.41412762,29,Accident,injury crash,12/8/2011,SEMINOLE TRAIL,0.012304447
38.08507133,-78.47745316,631,Accident,injury crash,12/19/2011,RIO RD WEST,0.022779613
37.9567477,-78.65923064,29,Accident,property damage crash,12/25/2011,MONACAN TRAIL ROAD,0.012304447
37.968197,-78.549846,631,Accident,property damage crash,1/5/2012,OLD LYNCHBURG ROAD,0.022779613
