Route.Number,Seg.Number,Latitude,Longitude,Incident.Date,Time,Day,Road.Name,Crash.Severity,Direction,Light.Condition,Roadway.Type,Surface.Type,Type,Density.Score,DD.Check.Score,Seg.Density.Score,Seg.DD.Check.Score,Den.Top20Rt,Den.Top50Seg,DD.Top20Rt,DD.Top50Seg
29,188,38.07665802,-78.47834817,1/3/2010,2:28:00 PM,Sun,SEMINOLE TRL,injury crash,Not Provided,2. Daylight,1. Straight - Level,1. Dry,Accident,0.012304447,2.527853881,1.96078E-05,0.007305936,Yes,No,Yes,No
64,244,38.04316663,-78.80096825,1/3/2010,3:30:00 AM,Sun,i 64 east,injury crash,West,5. Darkness - Road Not Lighted,3. Grade - Straight,1. Dry,Accident,0.006583343,0.898630137,0.00035,0.051141553,No,No,Yes,Yes
738,1260,38.05756793,-78.62482664,1/4/2010,12:30:00 AM,Mon,MORGANTOWN RD,injury crash,West,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.001818182,0.014611872,0.000909091,0.007305936,No,No,No,No
250,444,38.04422632,-78.51410857,1/11/2010,7:50:00 AM,Mon,ivy rd,injury crash,Not Provided,2. Daylight,1. Straight - Level,1. Dry,Accident,0.016825849,1.928767123,0.000243902,0.014611872,Yes,No,Yes,No
631,680,38.07468698,-78.46810931,1/12/2010,5:56:00 PM,Tue,EAST RIO RD,property damage crash,Not Provided,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.022779613,1.234703196,3.44828E-05,0.007305936,Yes,No,Yes,No
743,1286,38.08273414,-78.49061968,1/13/2010,6:18:00 PM,Wed,EARLYSVILLE RD,property damage crash,Not Provided,4. Darkness - Road Lighted,1. Straight - Level,1. Dry,Accident,0.014030319,0.745205479,0.0001,0.014611872,Yes,No,Yes,No
20,54,38.00565719,-78.48003746,1/16/2010,10:04:00 AM,Sat,scottsville rd,injury crash,North,2. Daylight,1. Straight - Level,1. Dry,Accident,0.030377569,1.56347032,0.0001,0.014611872,Yes,No,Yes,No
20,81,38.07459896,-78.4059693,1/18/2010,2:28:00 AM,Mon,Stony POiNt Rd,injury crash,South,5. Darkness - Road Not Lighted,4. Grade - Curve,2. Wet,Accident,0.030377569,1.56347032,0.000263158,0.014611872,Yes,No,Yes,No
614,578,38.10431821,-78.5842138,1/22/2010,5:49:00 PM,Fri,garth rd,property damage crash,East,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.009259485,0.087671233,0.001538462,0.029223744,No,No,No,No
796,1422,38.02975346,-78.78460878,1/23/2010,1:55:00 PM,Sat,BROOKSVILLE RD,injury crash,West,2. Daylight,3. Grade - Straight,1. Dry,Accident,0.006812816,0.014611872,0.005555556,0.014611872,No,No,No,No
635,711,37.99798673,-78.71078713,1/23/2010,1:08:00 AM,Sat,miler schol rd,injury crash,North,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.010202807,0.080365297,0.000833333,0.007305936,No,No,No,No
250,408,38.05531115,-78.57163783,1/23/2010,8:24:00 PM,Sat,IVY RD,property damage crash,West,5. Darkness - Road Not Lighted,5. Hillcrest - Straight,1. Dry,Accident,0.016825849,1.928767123,0.000461538,0.043835616,Yes,No,Yes,No
635,715,38.0188445,-78.70475792,2/8/2010,7:48:00 PM,Mon,MILLER SCHOOL ROAD,property damage crash,North,5. Darkness - Road Not Lighted,3. Grade - Straight,4. Icy,Accident,0.010202807,0.080365297,0.001052632,0.014611872,No,No,No,No
231,297,38.11345135,-78.24416896,2/26/2010,5:00:00 PM,Fri,GORDONSVILLE RD,property damage crash,North,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.0018,0.065753425,0.0004,0.014611872,No,No,No,No
631,656,38.00042949,-78.52758379,3/3/2010,1:49:00 PM,Wed,OLD LYNCHBURG RD,injury crash,Not Provided,2. Daylight,3. Grade - Straight,1. Dry,Accident,0.022779613,1.234703196,0.000394737,0.021917808,Yes,No,Yes,No
627,634,37.84090214,-78.59113839,3/5/2010,8:07:00 PM,Fri,PORTERS ROAD,injury crash,North,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.029451897,0.058447489,0.05,0.007305936,No,No,No,No
742,1276,38.01244197,-78.48815788,3/5/2010,2:24:00 AM,Fri,AVON ST EXT,property damage crash,South,5. Darkness - Road Not Lighted,5. Hillcrest - Straight,1. Dry,Accident,0.001909091,0.153424658,0.001,0.080365297,No,Yes,Yes,Yes
676,985,38.09967518,-78.49081218,3/6/2010,5:36:00 PM,Sat,woodlands rd,injury crash,West,2. Daylight,4. Grade - Curve,1. Dry,Accident,0.010248568,0.197260274,0,0.029223744,Yes,No,Yes,No
20,35,37.88875251,-78.54921563,3/7/2010,3:29:00 AM,Sun,scottesville rd,injury crash,North,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.030377569,1.56347032,0.001333333,0.073059361,Yes,Yes,Yes,Yes
649,796,38.08508222,-78.40596787,3/12/2010,10:53:00 PM,Fri,PROFFIT RD,property damage crash,West,5. Darkness - Road Not Lighted,2. Curve - Level,2. Wet,Accident,0.004837444,0.189954338,0.001904762,0.058447489,No,Yes,Yes,Yes
760,1341,37.96368124,-78.64025739,3/12/2010,2:00:00 AM,Fri,red hill school rd,property damage crash,North,5. Darkness - Road Not Lighted,1. Straight - Level,"11. Sand, Dirt, Gravel",Accident,0.007488987,0.007305936,0.005882353,0.007305936,No,No,No,No
250,379,38.05094933,-78.70557199,3/14/2010,12:54:00 AM,Sun,ROCKFISH GAP TNPK,property damage crash,East,5. Darkness - Road Not Lighted,1. Straight - Level,2. Wet,Accident,0.016825849,1.928767123,9.09091E-05,0.007305936,Yes,No,Yes,No
64,244,38.04733883,-78.77290108,3/16/2010,10:50:00 PM,Tue,I 64 W,property damage crash,East,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.006583343,0.898630137,0.00035,0.051141553,No,No,Yes,Yes
20,35,37.89658093,-78.55062489,3/20/2010,1:15:00 AM,Sat,SCOTTSVILLE RD,injury crash,South,5. Darkness - Road Not Lighted,5. Hillcrest - Straight,1. Dry,Accident,0.030377569,1.56347032,0.001333333,0.073059361,Yes,Yes,Yes,Yes
1421,2042,38.03726164,-78.45442123,3/29/2010,11:17:00 PM,Mon,elk dr,injury crash,South,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.004347826,0.029223744,0,0.021917808,No,No,No,No
29,208,38.13107307,-78.43645378,3/29/2010,5:06:00 PM,Mon,seminole trail,injury crash,South,2. Daylight,1. Straight - Level,1. Dry,Accident,0.012304447,2.527853881,7.89474E-05,0.021917808,Yes,No,Yes,No
692,1094,37.95610797,-78.65177171,4/2/2010,9:48:00 PM,Fri,PLANK RD,property damage crash,South,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.022813036,0.226484018,0.003636364,0.029223744,Yes,No,Yes,No
631,655,37.990226,-78.53539,4/7/2010,1:32:00 AM,Wed,OLD LYNCHBURG ROAD,property damage crash,South,5. Darkness - Road Not Lighted,6. Hillcrest - Curve,1. Dry,Accident,0.022779613,1.234703196,0.004545455,0.073059361,Yes,Yes,Yes,Yes
637,738,38.0345462,-78.60125149,4/13/2010,2:50:00 PM,Tue,RT637,property damage crash,Not Provided,2. Daylight,4. Grade - Curve,1. Dry,Accident,0.014167045,0.080365297,0.000666667,0.007305936,Yes,No,No,No
625,615,37.76847697,-78.51504003,4/16/2010,7:22:00 PM,Fri,9872 HALTON FERRY RD,property damage crash,South,2. Daylight,2. Curve - Level,1. Dry,Accident,0.027272727,0.021917808,0.018181818,0.014611872,No,No,No,No
692,1094,37.95717882,-78.65099148,4/17/2010,7:13:00 PM,Sat,PLANK RD,injury crash,East,2. Daylight,2. Curve - Level,1. Dry,Accident,0.022813036,0.226484018,0.003636364,0.029223744,Yes,No,Yes,No
53,216,37.996742,-78.45118,4/28/2010,1:22:00 AM,Wed,THOMAS JEFFERSON PKWY,injury crash,West,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.008475812,0.4456621,0.001265823,0.073059361,No,Yes,Yes,Yes
626,622,37.80758612,-78.53992593,5/1/2010,5:19:00 PM,Sat,langhorne rd,injury crash,South,2. Daylight,2. Curve - Level,1. Dry,Accident,0.0263631,0.094977169,0.003225806,0.014611872,Yes,No,No,No
6,1,37.82576,-78.70534,12/6/2014,5:37:00 PM,Sat,IRISH RD,property damage crash,West,5. Darkness - Road Not Lighted,4. Grade - Curve,2. Wet,Accident,0.022074779,0.226484018,0.009,0.065753425,Yes,Yes,Yes,Yes
29,189,38.08177027,-78.47382304,5/8/2010,4:05:00 AM,Sat,SeMInOLe Traii,property damage crash,Not Provided,4. Darkness - Road Lighted,1. Straight - Level,1. Dry,Accident,0.012304447,2.527853881,7.84314E-05,0.029223744,Yes,No,Yes,No
715,1188,37.83812593,-78.60901591,5/8/2010,3:06:00 PM,Sat,ESMONT RD,property damage crash,South,2. Daylight,2. Curve - Level,1. Dry,Accident,0.016878163,0.087671233,0.00483871,0.021917808,Yes,No,No,No
20,45,37.97945763,-78.50839716,5/8/2010,3:03:00 AM,Sat,SCOTTSVILLE RD,injury crash,South,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.030377569,1.56347032,0.00025974,0.014611872,Yes,No,Yes,No
240,330,38.06260346,-78.65135371,5/13/2010,2:32:00 AM,Thu,THREE NOTCH'D RD,property damage crash,West,5. Darkness - Road Not Lighted,2. Curve - Level,2. Wet,Accident,0.005622565,0.233789954,0.000517241,0.021917808,No,No,Yes,No
601,499,38.06159331,-78.53240254,5/16/2010,1:16:00 AM,Sun,old garth rd,injury crash,North,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.017077528,0.306849315,0.001333333,0.014611872,Yes,No,Yes,No
649,796,38.1020073,-78.4214051,5/16/2010,1:44:00 AM,Sun,PROFFITT RD,property damage crash,East,5. Darkness - Road Not Lighted,4. Grade - Curve,2. Wet,Accident,0.004837444,0.189954338,0.001904762,0.058447489,No,Yes,Yes,Yes
29,183,38.06600249,-78.48789563,5/21/2010,12:56:00 PM,Fri,SEMINOLE TR,property damage crash,North,2. Daylight,1. Straight - Level,1. Dry,Accident,0.012304447,2.527853881,1.75439E-05,0.007305936,Yes,No,Yes,No
676,976,38.09131672,-78.58209941,5/27/2010,7:47:00 PM,Thu,OWENSVILLE RD,injury crash,Not Provided,2. Daylight,2. Curve - Level,1. Dry,Accident,0.010248568,0.197260274,0.000357143,0.007305936,Yes,No,Yes,No
64,243,38.04201308,-78.72065115,5/29/2010,7:38:00 PM,Sat,I 64 EB,injury crash,East,3. Dusk,3. Grade - Straight,2. Wet,Accident,0.006583343,0.898630137,0.0003,0.043835616,No,No,Yes,No
29,119,37.93046058,-78.67546366,6/8/2010,1:06:00 AM,Tue,monacan trail,injury crash,Not Provided,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.012304447,2.527853881,0.0015,0.131506849,Yes,Yes,Yes,Yes
649,796,38.088091,-78.412061,6/11/2010,11:51:00 PM,Fri,1700 PROFFIT RD,injury crash,West,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.004837444,0.189954338,0.001904762,0.058447489,No,Yes,Yes,Yes
20,38,37.95242103,-78.53131111,6/13/2010,2:08:00 AM,Sun,3138 SOTTESVILLE ROAD,property damage crash,North,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.030377569,1.56347032,0.003246753,0.182648402,Yes,Yes,Yes,Yes
743,1279,38.06199636,-78.49163096,6/15/2010,3:45:00 PM,Tue,HYDRAULIC RD,injury crash,Not Provided,2. Daylight,1. Straight - Level,1. Dry,Accident,0.014030319,0.745205479,0.0021875,0.255707763,Yes,Yes,Yes,Yes
29,205,38.12312908,-78.44528986,6/19/2010,2:36:00 AM,Sat,SEMINOLE TRAIL,injury crash,South,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.012304447,2.527853881,2.63158E-05,0.007305936,Yes,No,Yes,No
20,73,38.05502895,-78.43632398,6/24/2010,12:38:00 AM,Thu,STONY POINT ROAD,injury crash,North,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.030377569,1.56347032,0.000681818,0.043835616,Yes,No,Yes,No
20,80,38.07332691,-78.40832762,6/24/2010,7:03:00 PM,Thu,STONY POINT RD,injury crash,North,4. Darkness - Road Lighted,4. Grade - Curve,2. Wet,Accident,0.030377569,1.56347032,0.000131579,0.007305936,Yes,No,Yes,No
6,7,37.82883,-78.63646,5/27/2015,7:35:00 PM,Wed,IRISH ROAD,property damage crash,Not Provided,2. Daylight,1. Straight - Level,1. Dry,Accident,0.022074779,0.226484018,0.001,0.007305936,Yes,No,Yes,No
712,1154,37.94584905,-78.63715384,6/26/2010,5:00:00 PM,Sat,plank rd,fatal crash,East,2. Daylight,4. Grade - Curve,1. Dry,Accident,0.019406658,0.087671233,0.004,0.021917808,Yes,No,No,No
708,1137,37.938862,-78.57965,7/1/2010,5:51:00 PM,Thu,red hill school,injury crash,East,2. Daylight,4. Grade - Curve,1. Dry,Accident,0.022244837,0.138812785,0.003333333,0.029223744,Yes,No,No,No
20,92,38.11279287,-78.37107549,7/3/2010,12:30:00 AM,Sat,STONY POINT RD,injury crash,Not Provided,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.030377569,1.56347032,0.001428571,0.021917808,Yes,No,Yes,No
606,542,38.15189,-78.4381,7/3/2010,7:42:00 PM,Sat,DICKERSON RD,property damage crash,North,2. Daylight,2. Curve - Level,1. Dry,Accident,0.006814507,0.094977169,0.028571429,0.029223744,No,No,No,No
742,1270,37.98327044,-78.50575507,7/3/2010,3:00:00 AM,Sat,AVON STREET,injury crash,North,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.001909091,0.153424658,0.000181818,0.014611872,No,No,Yes,No
631,666,38.04907312,-78.46708869,7/5/2010,3:25:00 AM,Mon,e rio rd,injury crash,Not Provided,5. Darkness - Road Not Lighted,4. Grade - Curve,2. Wet,Accident,0.022779613,1.234703196,0.000505051,0.03652968,Yes,No,Yes,No
692,1082,38.01679035,-78.76474477,7/10/2010,11:34:00 PM,Sat,plank road,fatal crash,East,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.022813036,0.226484018,0.004285714,0.021917808,Yes,No,Yes,No
29,119,37.92188699,-78.68133384,7/10/2010,5:41:00 PM,Sat,4530 MONACAN TRAIL RD,property damage crash,South,2. Daylight,1. Straight - Level,1. Dry,Accident,0.012304447,2.527853881,0.0015,0.131506849,Yes,Yes,Yes,Yes
631,675,38.06419165,-78.46390667,7/11/2010,9:06:00 PM,Sun,RIO RD E,property damage crash,East,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.022779613,1.234703196,3.44828E-05,0.007305936,Yes,No,Yes,No
743,1291,38.10912644,-78.47866218,7/13/2010,1:10:00 AM,Tue,EARLYSVILLE RD,injury crash,North,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.014030319,0.745205479,0.000306122,0.021917808,Yes,No,Yes,No
240,329,38.06428784,-78.65393651,7/17/2010,5:30:00 AM,Sat,3 NOTCH'D RD,injury crash,East,1. Dawn,4. Grade - Curve,1. Dry,Accident,0.005622565,0.233789954,0.001206897,0.051141553,No,Yes,Yes,Yes
678,994,38.06270491,-78.59628015,7/23/2010,8:04:00 PM,Fri,OWENSVILLE RD,injury crash,Not Provided,2. Daylight,4. Grade - Curve,1. Dry,Accident,0.005203019,0.029223744,0.000294118,0.007305936,No,No,No,No
810,1448,38.1384197,-78.66386008,7/23/2010,10:23:00 AM,Fri,BrownS Gap TNPK,property damage crash,South,2. Daylight,2. Curve - Level,1. Dry,Accident,0.019907987,0.146118721,0.00212766,0.014611872,Yes,No,Yes,No
631,663,38.00748286,-78.50969435,7/24/2010,4:52:00 PM,Sat,5TH STREET,property damage crash,Not Provided,2. Daylight,3. Grade - Straight,1. Dry,Accident,0.022779613,1.234703196,0.00005,0.007305936,Yes,No,Yes,No
29,139,38.00639928,-78.57376931,7/24/2010,2:03:00 AM,Sat,MONACAN TR,injury crash,South,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.012304447,2.527853881,0.000894737,0.124200913,Yes,Yes,Yes,Yes
64,230,38.01998747,-78.53508111,7/28/2010,4:45:00 AM,Wed,I64 wb,property damage crash,East,5. Darkness - Road Not Lighted,5. Hillcrest - Straight,1. Dry,Accident,0.006583343,0.898630137,0.000142857,0.021917808,No,No,Yes,No
729,1230,37.95031704,-78.40193894,7/31/2010,12:41:00 AM,Sat,BUCK ISLAND RD,property damage crash,North,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.011018371,0.226484018,0.006666667,0.058447489,Yes,Yes,Yes,Yes
64,240,38.00495616,-78.35986591,8/7/2010,4:06:00 AM,Sat,I 64 WESTBOUND,injury crash,East,5. Darkness - Road Not Lighted,3. Grade - Straight,1. Dry,Accident,0.006583343,0.898630137,0.000263158,0.03652968,No,No,Yes,No
712,1170,37.96209659,-78.64363953,8/22/2010,8:05:00 PM,Sun,plank rd,injury crash,East,3. Dusk,3. Grade - Straight,1. Dry,Accident,0.019406658,0.087671233,0.003448276,0.007305936,Yes,No,No,No
250,357,38.01193474,-78.39368432,8/27/2010,5:13:00 AM,Fri,richmond rd,property damage crash,East,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.016825849,1.928767123,0.000181818,0.007305936,Yes,No,Yes,No
20,56,38.00789102,-78.47846847,8/28/2010,4:53:00 PM,Sat,SCOTTSVILLE RD,property damage crash,Not Provided,2. Daylight,1. Straight - Level,1. Dry,Accident,0.030377569,1.56347032,0.00005,0.007305936,Yes,No,Yes,No
29,211,38.1490222,-78.42398926,9/2/2010,2:44:00 PM,Thu,SEMINOLE TR,property damage crash,Not Provided,2. Daylight,1. Straight - Level,1. Dry,Accident,0.012304447,2.527853881,6.06061E-05,0.014611872,Yes,No,Yes,No
22,103,38.0177056,-78.37941762,9/2/2010,7:16:00 PM,Thu,louisa rd,property damage crash,East,2. Daylight,1. Straight - Level,1. Dry,Accident,0.005519566,0.219178082,0.001058824,0.065753425,No,Yes,Yes,Yes
250,406,38.0553477,-78.58180389,9/5/2010,4:38:00 AM,Sun,IVY RD,injury crash,Not Provided,4. Darkness - Road Lighted,3. Grade - Straight,1. Dry,Accident,0.016825849,1.928767123,7.69231E-05,0.007305936,Yes,No,Yes,No
1206,1859,38.07169566,-78.71192743,9/11/2010,12:05:00 AM,Sat,ORCHARD DR,property damage crash,East,4. Darkness - Road Lighted,5. Hillcrest - Straight,1. Dry,Accident,0.002173913,0.007305936,0.002173913,0.007305936,No,No,No,No
64,242,37.99661187,-78.3133258,9/14/2010,8:20:00 PM,Tue,i 64,injury crash,East,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.006583343,0.898630137,0,0.021917808,No,No,Yes,No
64,233,38.00935656,-78.48220791,9/16/2010,2:58:00 AM,Thu,Proffit Road,property damage crash,West,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.006583343,0.898630137,0.000125,0.014611872,No,No,Yes,No
631,658,38.0030533,-78.52434724,9/22/2010,12:13:00 AM,Wed,OLD LYNCHBURG RD,property damage crash,North,5. Darkness - Road Not Lighted,3. Grade - Straight,1. Dry,Accident,0.022779613,1.234703196,8.33333E-05,0.007305936,Yes,No,Yes,No
20,38,37.94955869,-78.533952,9/25/2010,1:41:00 AM,Sat,SCOTTSVILLE RD,property damage crash,South,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.030377569,1.56347032,0.003246753,0.182648402,Yes,Yes,Yes,Yes
53,216,37.99682198,-78.4512337,9/30/2010,1:04:00 AM,Thu,thomas jefferson parkway,property damage crash,West,5. Darkness - Road Not Lighted,4. Grade - Curve,2. Wet,Accident,0.008475812,0.4456621,0.001265823,0.073059361,No,Yes,Yes,Yes
742,1273,37.99864387,-78.49934063,10/1/2010,1:45:00 PM,Fri,AVON ST EXT,property damage crash,South,2. Daylight,1. Straight - Level,1. Dry,Accident,0.001909091,0.153424658,9.09091E-05,0.007305936,No,No,Yes,No
671,947,38.20039211,-78.58883522,10/3/2010,6:34:00 AM,Sun,DAVIS SHOP RD,property damage crash,West,5. Darkness - Road Not Lighted,3. Grade - Straight,1. Dry,Accident,0.014345404,0.029223744,0.0125,0.007305936,No,No,No,No
743,1299,38.14488841,-78.46932583,10/4/2010,1:52:00 PM,Mon,earlysville rd,fatal crash,South,2. Daylight,1. Straight - Level,1. Dry,Accident,0.014030319,0.745205479,0.001413043,0.094977169,Yes,Yes,Yes,Yes
810,1473,38.11964922,-78.66383918,10/9/2010,1:27:00 AM,Sat,BROWN GAP TNPK,property damage crash,North,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.019907987,0.146118721,0.001875,0.021917808,Yes,No,Yes,No
231,298,38.08729093,-78.27833482,10/10/2010,2:00:00 AM,Sun,GORDONSVILLE RD,injury crash,South,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.0018,0.065753425,0.0004,0.014611872,No,No,No,No
64,237,38.01796948,-78.44141616,10/16/2010,2:05:00 AM,Sat,INTER 64 EAST,injury crash,West,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.006583343,0.898630137,0.000263158,0.03652968,No,No,Yes,No
706,1119,37.96165804,-78.57949447,10/23/2010,8:26:00 PM,Sat,2281 DUDLEY MOUNTAIN ROAD,injury crash,North,4. Darkness - Road Lighted,3. Grade - Straight,1. Dry,Accident,0.033333333,0.065753425,0.014814815,0.029223744,No,No,No,No
29,179,38.06187736,-78.49159085,10/27/2010,3:44:00 AM,Wed,1900 emmet st,injury crash,Not Provided,4. Darkness - Road Lighted,1. Straight - Level,2. Wet,Accident,0.012304447,2.527853881,5.26316E-05,0.021917808,Yes,No,Yes,No
250,439,37.99561243,-78.350999,11/1/2010,9:56:00 PM,Mon,richmond rd,property damage crash,West,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.016825849,1.928767123,0.000363636,0.014611872,Yes,No,Yes,No
601,500,38.08253305,-78.54315837,11/2/2010,1:30:00 AM,Tue,1300 GAREH RD,property damage crash,South,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.017077528,0.306849315,0.000895522,0.043835616,Yes,Yes,Yes,No
664,915,38.18369547,-78.48404332,11/4/2010,10:46:00 PM,Thu,frays mtn rd,property damage crash,East,6. Darkness - Unknown Road Lighting,1. Straight - Level,2. Wet,Accident,0.004684529,0.029223744,0.003448276,0.007305936,No,No,No,No
631,665,38.00880131,-78.50807794,11/12/2010,3:01:00 AM,Fri,5TH ST,injury crash,North,5. Darkness - Road Not Lighted,3. Grade - Straight,1. Dry,Accident,0.022779613,1.234703196,0.00020202,0.014611872,Yes,No,Yes,No
20,36,37.91093454,-78.54443083,11/25/2010,2:03:00 AM,Thu,SCOTTSVILLE RD,property damage crash,North,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.030377569,1.56347032,0.000266667,0.014611872,Yes,No,Yes,No
601,500,38.08390722,-78.54371748,11/28/2010,3:17:00 AM,Sun,garth rd,injury crash,West,5. Darkness - Road Not Lighted,2. Curve - Level,1. Dry,Accident,0.017077528,0.306849315,0.000895522,0.043835616,Yes,Yes,Yes,No
676,968,38.07997576,-78.61822529,12/2/2010,5:05:00 AM,Thu,TILLMAN RD,property damage crash,West,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.010248568,0.197260274,0.010526316,0.029223744,Yes,No,Yes,No
53,226,37.96093214,-78.38152189,12/5/2010,12:42:00 AM,Sun,THOMAS JEFFERSON PKWY,property damage crash,West,5. Darkness - Road Not Lighted,2. Curve - Level,4. Icy,Accident,0.008475812,0.4456621,0,0.043835616,No,No,Yes,No
22,103,38.01489593,-78.39079661,12/10/2010,8:25:00 PM,Fri,3100 BLOCK OF LOUISA ROAD,injury crash,West,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.005519566,0.219178082,0.001058824,0.065753425,No,Yes,Yes,Yes
20,91,38.10743691,-78.37812644,12/13/2010,6:21:00 AM,Mon,stony point rd,injury crash,South,5. Darkness - Road Not Lighted,1. Straight - Level,7. Other,Accident,0.030377569,1.56347032,0.000526316,0.014611872,Yes,No,Yes,No
250,412,38.05106977,-78.55498555,12/19/2010,7:30:00 PM,Sun,3000X IVY RD,injury crash,East,5. Darkness - Road Not Lighted,3. Grade - Straight,1. Dry,Accident,0.016825849,1.928767123,7.69231E-05,0.007305936,Yes,No,Yes,No
250,339,38.03029205,-78.44356174,12/19/2010,7:38:00 PM,Sun,RICHMOND RD,injury crash,Not Provided,4. Darkness - Road Lighted,1. Straight - Level,1. Dry,Accident,0.016825849,1.928767123,5.40541E-05,0.014611872,Yes,No,Yes,No
53,223,37.97344339,-78.41497512,12/23/2010,10:58:00 PM,Thu,THOMAS JEFFERSON PKWY,property damage crash,West,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.008475812,0.4456621,0.002040816,0.073059361,No,Yes,Yes,Yes
29,179,38.06187776,-78.4915905,12/27/2010,8:50:00 PM,Mon,1900N EMMET ST,injury crash,Not Provided,4. Darkness - Road Lighted,1. Straight - Level,1. Dry,Accident,0.012304447,2.527853881,5.26316E-05,0.021917808,Yes,No,Yes,No
631,654,37.97345682,-78.54506106,1/3/2011,12:02:00 AM,Mon,OLD LYNCHBURG RD 1400X,injury crash,South,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
250,339,38.03030134,-78.44357992,1/6/2011,7:38:00 PM,Thu,RICHMOND ROAD,injury crash,Not Provided,4. Darkness - Road Lighted,1. Straight - Level,1. Dry,Accident,0.016825849,1.928767123,5.40541E-05,0.014611872,Yes,No,Yes,No
860,1560,38.12445601,-78.21894475,1/8/2011,10:24:00 PM,Sat,KLOCKNER ROAD,injury crash,East,5. Darkness - Road Not Lighted,1. Straight - Level,1. Dry,Accident,0.002,0.014611872,0.002,0.014611872,No,No,No,No
742,1271,37.98963283,-78.50489461,1/9/2011,3:45:00 AM,Sun,AVON ST EXT,property damage crash,East,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.001909091,0.153424658,9.09091E-05,0.007305936,No,No,Yes,No
631,659,38.00518509,-78.51994343,1/22/2011,2:45:00 AM,Sat,5TH ST EXTENDED,property damage crash,Not Provided,5. Darkness - Road Not Lighted,1. Straight - Level,"11. Sand, Dirt, Gravel",Accident,0.022779613,1.234703196,8.33333E-05,0.007305936,Yes,No,Yes,No
664,906,38.21673127,-78.54849233,1/23/2011,2:04:00 AM,Sun,MARKWOOD RD,fatal crash,South,5. Darkness - Road Not Lighted,4. Grade - Curve,1. Dry,Accident,0.004684529,0.029223744,0.001492537,0.007305936,No,No,No,No
20,38,37.96030674,-78.52274623,1/23/2011,1:30:00 AM,Sun,scottsville rd,property damage crash,Not Provided,5. Darkness - Road Not Lighted,3. Grade - Straight,1. Dry,Accident,0.030377569,1.56347032,0.003246753,0.182648402,Yes,Yes,Yes,Yes
