Segment ,Route ,Length,Crashes,Arrests,Total,DUI.Density,Incidents/Check,DD/Check,AADT,Start.MM,End.MM,Start.MP,End.MP,Traffic/Check,SURFACEWIDTH,PAVEMENTWIDTH,SURFACETYPE,BASETYPE,NUMBEROFLANE,RIGHTSHOULDERWIDTH,LEFTSHOULDERWIDTH
1,6,1.18,1,8,9,0.009,0.000821918,0.065753425,1000,23.1,24.28,0,1.18,75.28494301,20,20,6,2,2,3,3
2,6,1.17,0,4,4,0.004,0.000365297,0.029223744,1000,24.28,25.45,1.18,2.35,75.28494301,20,20,6,2,2,3,3
3,6,0.36,0,2,2,0.002,0.000182648,0.014611872,1000,25.45,25.81,2.35,2.71,75.28494301,20,20,6,2,2,3,3
4,6,0.31,0,0,0,0,0,0,1000,25.81,26.12,2.71,3.02,75.28494301,20,20,6,2,2,3,3
5,6,0.28,0,1,1,0.001,9.13242E-05,0.007305936,1000,26.12,26.4,3.02,3.3,75.28494301,20,20,6,2,2,3,3
6,6,0.79,0,0,0,0,0,0,1000,26.4,27.19,3.3,4.09,75.28494301,20,20,6,2,2,3,3
7,6,0.92,1,0,1,0.001,9.13242E-05,0.007305936,1000,27.19,28.11,4.09,5.01,75.28494301,20,20,6,2,2,3,3
8,6,1.03,0,2,2,0.002,0.000182648,0.014611872,1000,28.11,29.14,5.01,6.04,75.28494301,20,20,6,2,2,3,3
9,6,0.56,1,1,2,0.002,0.000182648,0.014611872,1000,29.14,29.7,6.04,6.6,75.28494301,20,20,6,2,2,3,3
10,6,0.24,1,0,1,0.001,9.13242E-05,0.007305936,1000,29.7,29.94,6.6,6.84,75.28494301,20,20,6,2,2,3,3
11,6,0.08,0,0,0,0,0,0,1000,29.94,30.02,6.84,6.92,75.28494301,20,20,6,2,2,3,3
12,6,0.27,0,0,0,0,0,0,1000,30.02,30.29,6.92,7.19,75.28494301,20,20,6,2,2,3,3
13,6,3.39,4,0,4,0.003333333,0.000365297,0.029223744,1200,30.29,33.68,7.19,10.58,90.34193161,20,20,6,2,2,3,3
14,6,0.69,3,0,3,0.0025,0.000273973,0.021917808,1200,33.68,34.37,10.58,11.27,90.34193161,20,20,6,2,2,3,3
15,6,1.16,0,0,0,0,0,0,1200,34.37,35.53,11.27,12.43,90.34193161,20,20,6,2,2,3,3
16,6,0.24,0,0,0,0,0,0,1200,35.53,35.77,12.43,12.67,90.34193161,20,20,6,7,2,4,4
17,6,0.2,0,0,0,0,0,0,7000,35.77,35.97,12.67,12.87,526.9946011,20,20,6,7,2,4,4
18,6,0.18,1,0,1,0.000142857,9.13242E-05,0.007305936,7000,35.97,36.15,12.87,13.05,526.9946011,20,20,6,8,2,2,2
19,6,0.1,0,1,1,0.000142857,9.13242E-05,0.007305936,7000,36.15,36.25,13.05,13.15,526.9946011,20,20,6,8,2,2,2
20,20,0.29,0,1,1,0.00016129,9.13242E-05,0.007305936,6200,20.51,20.8,1.46,1.75,466.7666467,20,20,6,9,2,2,2
21,20,0.12,0,41,41,0.008723404,0.003744292,0.299543379,4700,19.05,19.17,0,0.12,353.8392322,22,28,8,0,2,0,0
22,20,0.27,0,0,0,0,0,0,6200,19.92,20.19,0.87,1.14,466.7666467,20,20,6,9,2,2,2
23,20,0.32,1,3,4,0.000645161,0.000365297,0.029223744,6200,20.19,20.51,1.14,1.46,466.7666467,20,20,6,9,2,2,2
24,20,0.34,1,0,1,0.00016129,9.13242E-05,0.007305936,6200,20.8,21.14,1.75,2.09,466.7666467,24,24,6,1,2,2,2
25,20,0.32,0,1,1,0.00016129,9.13242E-05,0.007305936,6200,21.14,21.46,2.09,2.41,466.7666467,24,24,6,1,2,2,2
26,20,0.28,1,0,1,0.00016129,9.13242E-05,0.007305936,6200,22.92,23.2,3.87,4.15,466.7666467,24,24,6,1,2,6,6
27,20,0.86,3,1,4,0.000645161,0.000365297,0.029223744,6200,21.46,22.32,2.41,3.27,466.7666467,20,20,6,9,2,2,2
28,20,0.27,0,2,2,0.000322581,0.000182648,0.014611872,6200,22.32,22.59,3.27,3.54,466.7666467,20,20,6,9,2,2,2
29,20,0.33,0,2,2,0.000322581,0.000182648,0.014611872,6200,22.59,22.92,3.54,3.87,466.7666467,20,20,6,9,2,2,2
30,20,0.28,1,1,2,0.000322581,0.000182648,0.014611872,6200,23.2,23.48,4.15,4.43,466.7666467,24,24,6,1,2,6,6
31,20,0.81,0,4,4,0.000645161,0.000365297,0.029223744,6200,23.48,24.29,4.43,5.24,466.7666467,24,24,6,1,2,6,6
32,20,1.14,0,11,11,0.001774194,0.001004566,0.080365297,6200,24.29,25.43,5.24,6.38,466.7666467,24,24,6,1,2,6,6
33,20,0.53,4,2,6,0.0008,0.000547945,0.043835616,7500,25.43,25.96,6.38,6.91,564.6370726,24,24,6,1,2,6,6
34,20,1.01,6,3,9,0.0012,0.000821918,0.065753425,7500,25.96,26.97,6.91,7.92,564.6370726,20,20,6,7,2,4,4
35,20,1.15,4,6,10,0.001333333,0.000913242,0.073059361,7500,26.97,28.12,7.92,9.07,564.6370726,20,20,6,7,2,4,4
36,20,0.55,1,1,2,0.000266667,0.000182648,0.014611872,7500,28.12,28.67,9.07,9.62,564.6370726,20,20,6,7,2,4,4
37,20,0.82,1,3,4,0.000533333,0.000365297,0.029223744,7500,28.67,29.49,9.62,10.44,564.6370726,20,20,6,7,2,4,4
38,20,3.35,9,16,25,0.003246753,0.002283105,0.182648402,7700,29.49,32.84,10.44,13.79,579.6940612,20,20,6,7,2,4,4
39,20,0.12,0,0,0,0,0,0,7700,32.84,32.96,13.79,13.91,579.6940612,20,20,6,7,2,4,4
40,20,0.03,0,0,0,0,0,0,7700,32.96,32.99,13.91,13.94,579.6940612,23,23,6,0,2,6,6
41,20,0.1,0,1,1,0.00012987,9.13242E-05,0.007305936,7700,32.99,33.09,13.94,14.04,579.6940612,24,24,6,1,2,10,10
42,20,0.3,0,0,0,0,0,0,7700,33.09,33.39,14.04,14.34,579.6940612,24,24,6,1,2,10,10
43,20,0.57,2,1,3,0.00038961,0.000273973,0.021917808,7700,33.39,33.96,14.34,14.91,579.6940612,23,23,6,0,2,6,6
44,20,0.48,0,2,2,0.00025974,0.000182648,0.014611872,7700,33.96,34.44,14.91,15.39,579.6940612,20,20,6,0,2,4,4
45,20,0.21,2,0,2,0.00025974,0.000182648,0.014611872,7700,34.44,34.65,15.39,15.6,579.6940612,23,36,6,0,2,8,8
46,20,0.05,0,3,3,0.0005,0.000273973,0.021917808,6000,34.65,34.7,15.6,15.65,451.7096581,23,36,6,0,2,8,8
47,20,1.33,0,4,4,0.000666667,0.000365297,0.029223744,6000,34.7,36.03,15.65,16.98,451.7096581,20,20,6,9,2,4,4
48,20,0.28,0,0,0,0,0,0,6000,36.03,36.31,16.98,17.26,451.7096581,20,20,6,9,2,4,4
49,20,0.25,1,1,2,0.000333333,0.000182648,0.014611872,6000,36.31,36.56,17.26,17.51,451.7096581,20,20,6,9,2,4,4
50,20,0.17,2,0,2,0.000333333,0.000182648,0.014611872,6000,36.56,36.73,17.51,17.68,451.7096581,20,20,6,9,2,4,4
51,20,0.03,0,0,0,0,0,0,6000,36.73,36.76,17.68,17.71,451.7096581,20,20,6,9,2,4,4
52,20,0.05,0,1,1,0.000166667,9.13242E-05,0.007305936,6000,36.76,36.81,17.71,17.76,451.7096581,24,48,6,1,2,4,4
53,20,0.13,0,0,0,0,0,0,20000,36.81,36.94,17.76,17.89,1505.69886,48,48,6,1,4,8,8
54,20,0.12,2,0,2,0.0001,0.000182648,0.014611872,20000,36.94,37.06,17.89,18.01,1505.69886,48,48,6,1,4,8,8
55,20,0.05,0,0,0,0,0,0,20000,37.06,37.11,18.01,18.06,1505.69886,48,48,6,1,4,8,8
